"3d unfold","3d unfold"
"20","20"
"30","30"
"50","50"
"100","100"
"200","200"
"Animation Effect","Animation Effect"
"Are you sure you wan't to delete selected popups?","Are you sure you wan't to delete selected popups?"
"A total of %1 record(s) have been deleted.","A total of %1 record(s) have been deleted."
"A total of %1 record(s) have been updated.","A total of %1 record(s) have been updated."
"Bottom center","Bottom center"
"Bottom left","Bottom left"
"Bottom right","Bottom right"
"Catalog Pages","Catalog Pages"
"Categories","Categories"
"Change status","Change status"
"Checkout","Checkout"
"Conditions","Conditions"
"Conditions (don't add conditions if rule is applied to all products)","Conditions (don't add conditions if rule is applied to all products)"
"Conditions Combination","Conditions Combination"
"Content","Content"
"Cookie Lifetimes, minutes","Cookie Lifetimes, minutes"
"Create New Popup","Create New Popup"
"Custom CSS","Custom CSS"
"Customer Group","Customer Group"
"Customer Groups","Customer Groups"
"Delete","Delete"
"Delete popups","Delete popups"
"Design Content","Design Content"
"Disable","Disable"
"Disabled","Disabled"
"Display At","Display At"
"Edit Popup","Edit Popup"
"Enable","Enable"
"Enabled","Enabled"
"Event","Event"
"Fade-slide","Fade-slide"
"Fade-zoom","Fade-zoom"
"from","from"
"From","From"
"General Information","General Information"
"Get Support","Get Support"
"Home Page","Home Page"
"Horizontal move","Horizontal move"
"ID","ID"
"Immediately after the page is loaded (not recommended)","Immediately after the page is loaded (not recommended)"
"Insert custom CSS to change popup design. If left blank, default design will be used.","Insert custom CSS to change popup design. If left blank, default design will be used."
"Manage Popups","Manage Popups"
"Middle center","Middle center"
"Middle left","Middle left"
"Middle right","Middle right"
"Move from top","Move from top"
"Name","Name"
"New Popup","New Popup"
"Newspaper","Newspaper"
"Once cursor is moved outside the page","Once cursor is moved outside the page"
"Once customer viewed X pages","Once customer viewed X pages"
"Once popup is shown to the customer, it will not be shown to him again within the next X minutes","Once popup is shown to the customer, it will not be shown to him again within the next X minutes"
"Once the page is scrolled by X%","Once the page is scrolled by X%"
"Popup Content","Popup Content"
"Popup Pro by Aheadworks","Popup Pro by Aheadworks"
"Popup was successfully deleted.","Popup was successfully deleted."
"Popup was successfully saved","Popup was successfully saved"
"Position","Position"
"Product Attributes","Product Attributes"
"Product Pages","Product Pages"
"Readme","Readme"
"Save","Save"
"Save and Continue Edit","Save and Continue Edit"
"Save as New","Save as New"
"Select...","Select..."
"Shopping Cart","Shopping Cart"
"Something went wrong while saving the popup.","Something went wrong while saving the popup."
"Status","Status"
"Store View","Store View"
"This popup no longer exists.","This popup no longer exists."
"To","To"
"to","to"
"Top center","Top center"
"Top left","Top left"
"Top right","Top right"
"Where to Display","Where to Display"
"X equals to","X equals to"
"X seconds after the page is loaded","X seconds after the page is loaded"
"Zoom-out","Zoom-out"
"Popup Design","Popup Design"
"Preview","Preview"
"Statistics","Statistics"
"Views","Views"
"Clicks","Clicks"
"CTR","CTR"
"Reset Statistics","Reset Statistics"
"Hide popup for search engines","Hide popup for search engines"
"Hide popup for mobile devices","Hide popup for mobile devices"
"Customer Segments","Customer Segments"
"Note, segments apply to signed in customers only. Guest visitors will not see popup, if any segment is selected.","Note, segments apply to signed in customers only. Guest visitors will not see popup, if any segment is selected."
"(Disabled)","(Disabled)"
