"Or pay in %1","Pago aplazado con"
"Or pay in","O paga en"
"Pay in %1","Paga en %1"
"Pay in %1 free","Paga en %1"
"by credit card","tu tarjeta bancaria"
"with your credit card","con tu tarjeta bancaria"
"with credit card","con tu tarjeta bancaria"
"oney_with","con"
"oney_credit_card","tu tarjeta bancaria"
"and a commission of %1 applied to the first payment","Y una comisión de %1 aplicada al primer pago"
"And a commission of","Y una comisión de"
"TAEG:","TAE:"
"Learn more","Ver más"
"Or","O"
"or","o"
"%1 Payment","%1 Pago"
"Oney is the solution","¡<span class='oney_not_uppercase'>3x4x</span> Oney es la solución de pago sencilla, rápida y segura para sus compras online!"
"Pay in","Paga en",
"From %1 to %2","De %1 a %2"
"and a commission of","y una comisión de"
"applied to the first payment","aplicada al primer pago"
"oney_error_message_admin",""
"oney_success_message_admin",""
"<div class='oney-payment-logo'></div><div class='oney-facilypay-text'>3x 4x ONEY: The buyer journey has never been that easy before! A payment solution in 3 or 4 instalments by credit card, simple, fast, convenient and secure, available on more than 450 online stores.</div>","<div class='oney-payment-logo'></div><div class='oney-facilypay-text'>EL 3x 4x ONEY: ¡A TUS CLIENTES LE ENCANTARÁ! Una solución de pago con tarjeta de crédito simple, rápida, práctica y segura 3x o 4x, disponible en más de 450 socios web.</div>"
"Without fee","Sin intereses"
"Without fees","Sin comisiones"
"With fees","Con comisiones"
"Choose","Elige"
"You have an immediate response.","¡Listo!"
"We will get back to you right away.","Recibirás una respuesta inmediata."
"Confirm your purchase and select %1 Oney for payment.","Confirme su compra y seleccione %1 Oney para el pago"
"We will give you an answer without waiting.","Le daremos una respuesta sin esperar."
"Simple and safe","Sencilla y segura"
"Complete your request easily and with a few clicks.","Rápido y sencillo, solo con tu DNI"
"We only ask you for some information","Completa el formulario"
"Connection to the API Oney has been completed successfully. You can configure the different payment methods in 'Oney Payments' section","La conexión a la API de Oney se completó correctamente. Puedes configurar los diferentes métodos de pago en la sección 'Oney Payments'."
"Unable to establish connection with Oney API. Please verify your login details. If the problem persists, please contact your administrator.","No se puede establecer conexión con la API de Oney. Verifique sus datos de inicio de sesión. Si el problema persiste, comuníquese con su administrador."
"Wrong country for Oney","Seleccione una dirección de entrega o facturación en España."
"Wrong postal for Oney","Si desea pagar con Oney, debe ingresar un código postal válido"
"Wrong phone for Oney","Por favor, introduzca un número de teléfono móvil válido. 0600000000 o +34600000000"
"Customer's cart eligible amounts from %1 to %2","Importe seleccionable para el carrito del cliente desde %1 € hasta %2 €."
"Payment %1 :","%1 Rata :"
"And a commission of","y una comisión aplicada al primer pago de"
"Hide","Esconder"
"Show","Mostrar"
"Template Options","Opciones de plantilla"
"Horizontal Banner","Banner horizontal"
"Vertical Banner","Banner vertical"
"This option show or hide the horizontal banner present on your store home page.","Esta opción muestra u oculta el banner horizontal presente en la página de inicio de su tienda."
"This option show or hide the vertical banner present on your store catalogue page.","Esta opción muestra u oculta el banner vertical presente en la página del catálogo de su tienda."
"oney_simulation_text","Primer pago de <strong>%1</strong> más <strong>%2</strong> pagos de <strong>%3</strong></br>Total a pagar: <strong>%4</strong>  (incluidos <strong>%5</strong> de gastos de gestión), <span class='taeg-oney'>TAE: %6%</span>, <span class='tin-oney'>TIN: %7%</span>"
"legal_text_payment","Al seleccionar Oney como medio de pago aceptas que tus datos sean enviados a Oney Servicios Financieros. <span class='open-pedagogique_modal'>Mas Info</span>."
"First payment :","Primera cuota a pagar hoy:"
"Following %1 mensualities :","Seguido de %1 pagos mensuales de"
"Total :","Total a pagar:"
"Credit cost included :","Gastos de gestión incluidos:"
"Simulation Pay in %1","Pago Aplazado"
"Pay in %1 free","Pago Aplazado"
