"banner_legal_text %1 %2 _be","<strong class='special-taeg'>TAEG de 0,0%</strong></br>calculada com base na TAN de 0,00%. Crédito Pessoal para montantes de financiamento de <strong>75€ a 2.000€, pagos em 3 ou 4 prestações com cartão de débito ou de crédito das redes Visa® ou Mastercard®</strong>, sem juros nem encargos. Adesão ao crédito sujeito à aprovação. Informe-se junto do Oney Bank em <a href='https://www.oney.pt/3x-4x-oney' target='_blank'>oney.pt</a>. O/A %1 atua como intermediário de crédito a título acessório %2. Informação referente à prestação de serviços de intermediação de crédito disponível"
"banner_legal_text_pedago %1 %2 _be","De Oney-oplossing is een rentevrij kredietaanbod, dat binnen de twee maanden moet worden terugbetaald en waarvan de maandelijkse kosten minder bedragen dan € 4,84 (bedrag onderworpen aan een jaarlijkse indexering zoals overeenkomstig voorzien door artikel VII.3, §2, 3° van het Wetboek van Economisch Recht (hierna het «WER»), in toepassing van de consumptieprijsindex van de consumptieprijzen) en waarop de regels van Boek VII van het WER betreffende het consumentenkrediet niet van toepassing zijn omwille van de duur ervan en de verwaarloosbare kosten die ermee gepaard gaaneraan verbonden. Gereserveerd voor individuen en geldig voor elke aankoop van € %1 tot € %2. kunt u U beschikt over een termijn van binnen de 14 kalenderdagen na uw aanvaarding van deze algemene voorwaarden om uw verbintenis te herroepen.<br/>
                                  Onder voorbehoud van aanvaarding door de : Oney Bank - Naamloze Vennootschap met een kapitaal van € 51.286.585 - 34 avenue Avenue de Flandre 59170 CROIX - Ingeschreven in het handels- en vennootschapsregister van Lille Métropole onder nummer 546 380 197.<br/>
                                  Oney Bank beschikt over een vergunning als kredietinstelling, verleend door dDe Franse Prudentiële Controleautoriteit Autorité de Controle Prudentiel (ACPR), 61 rue Rue Taitbout 75436 Paris cedex 09, heeft Oney Bank als kredietinstelling een vergunning verleend. Oney Banken staat onder toezicht van deze instelling. De lijst van erkende kredietinstellingen kan worden geraadpleegd op de website <a href='https://www.regafi.fr'>www.regafi.fr</a>, die door het RCACde ACPR wordt gepubliceerd. Oney Bank is vanuit Frankrijk in België actief in het kader van het vrij verrichten van diensten.<br/>
                                  Oney Bank oefent in België geen gereglementeerd beroep uit wegens gezien de aard van de diensten die er worden aangeboden (krediet vrijgesteld van de toepassing van de bepalingen van Boek VII van het Economisch Wetboek van Economisch Recht)."
"oney_with _be","Per"
"oney_credit_card _be","BANKKAART"
"Without fee _be","Zonder kosten"
"Pay in _be","Betaal in"
"Pay in %1 free _be","Betaal in 3x"
"Simulation Pay in %1 _be","Betaal in 3x"
"Pay in %1 _be","Betaling"
"Choose _be","Kies de"
"Confirm your purchase and select %1 Oney for payment. _be","en betaal in"
"We only ask you for some information _be","Vertel ons alles"
"Complete your request easily and with a few clicks. _be","Vul het formulier in zonder documenten te verstrekken."
"You have an immediate response. _be","WIJ ANTWOORDEN U"
"We will get back to you right away. _be","U krijgt anmiddellijk antwoord."
"oney_exclusive_text _be",""
"oney_non_exclusive_text _be",""
"Learn more on Oney _be",""
"Learn more on </br>Oney _be",""
"oney_here _be","aqui"
"Oney is the solution _be","Eenvoudige & Snelle betaling-soplossing"
"Or pay in _be","Betaal in"
"Or _be","of"
"with your credit card _be","per bankkaart"
"First payment : _be","Vandaag te betalen :"
"Following %1 mensualities : _be","Vervolgens %1 maandelijkse termijnen :"
"Total : _be","Totale kosten :"
"Credit cost included : _be","Inclusief betalingskosten :"
"TIN: _be","TAN:"
"Learn more _be","Meer informatie"
"Or pay in %1 _be","BETAAL IN"
"by credit card _be","PER BANKKAART"
"oney_simulation_text _be","Vandaag te betalen <strong>%1</strong> vervolgens <strong>%2</strong> maandelijkse termijnen <strong>%3</strong></br>Totale kosten <strong>%4</strong> (inclusief betalingskosten <strong>%5</strong>)"
"legal_text_payment _be",""
"with credit card _be","per bankkaart"
"not_exclusive_text_payment _be",""
"Wrong country for Oney _be","Verkeerd land voor Oney"
"Wrong phone for Oney _be","Verkeerde telefoon voor Oney"
"Wrong postal for Oney _be","Verkeerde post voor Oney"
