"banner_legal_text %1 %2","<strong class='special-taeg'>TAEG de 0,0%</strong></br>calculada com base na TAN de 0,00%. Crédito Pessoal para montantes de financiamento de <strong>75€ a 2.000€, pagos em 3 ou 4 prestações com cartão de débito ou de crédito das redes Visa® ou Mastercard®</strong>, sem juros nem encargos. Adesão ao crédito sujeito à aprovação. Informe-se junto do Oney Bank – Sucursal em Portugal em <a href='https://www.oney.pt/3x-4x-oney' target='_blank'>oney.pt</a>. O/A %1 atua como intermediário de crédito a título acessório %2. Informação referente à prestação de serviços de intermediação de crédito disponível"
"banner_legal_text_pedago %1 %2","<strong class='special-taeg'>TAEG de 0,0%</strong></br>calculada com base na TAN de 0,00%. Crédito Pessoal para montantes de financiamento de <strong>75€ a 2.000€ pagos em 3 prestações, ou de 75€ a 2.000€ pagos em 4 prestações, com cartão de débito ou de crédito das redes Visa® ou Mastercard®</strong>, sem juros nem encargos. Adesão ao crédito sujeito à aprovação. Informe-se junto do Oney Bank – Sucursal em Portugal em <a href='https://www.oney.pt/3x-4x-oney' target='_blank'>oney.pt</a>. O/A %1 atua como intermediário de crédito a título acessório %2. Informação referente à prestação de serviços de intermediação de crédito disponível"
"oney_with","com"
"oney_credit_card","CARTÃO</br>DE DÉBITO OU CRÉDITO"
"Without fee","Sem custos"
"Pay in","Pague em"
"Pay in %1 free","Pague com"
"Simulation Pay in %1","Pague com"
"Pay in %1","Pague com"
"Choose","Selecione"
"We only ask you for some information","Conte-nos mais"
"Complete your request easily and with a few clicks.","Preencha o formulário e faça upload do Cartão de Cidadão"
"You have an immediate response.","Feito!"
"We will get back to you right away.","Resposta imediata!"
"oney_exclusive_text","em regime de exclusividade"
"oney_non_exclusive_text","sem exclusividade"
"Learn more on Oney","Saiba mais sobre esta parceria"
"Learn more on </br>Oney","Saiba mais sobre </br>esta parceria"
"oney_here","aqui"
"Oney is the solution","Solução de pagamento simples e rápida"
"Or pay in","Ou pague em"
"Or","Ou"
"with your credit card","com Cartão de débito ou crédito"
"First payment :","Primeira prestação a pagar hoje :"
"Following %1 mensualities :","Prestações mensais seguintes:"
"Total :","Valor total:"
"Credit cost included :","Inclui custos de:"
"TIN:","TAN:"
"Learn more","Descubra mais"
"Or pay in %1","Pague com"
"by credit card","CARTÃO DE DÉBITO OU CRÉDITO"
"oney_simulation_text","Primeira prestação de <strong>%1</strong> mais <strong>%2</strong> prestações de <strong>%3</strong></br>Valor total: <strong>%4</strong> (<strong>%5</strong> de custos), <span class='taeg-oney'>TAEG: %6%</span>, TAN: <span class='tin-oney'>%7%</span>, MTIC: <span class='mtic-oney'>%4</span>"
"legal_text_payment",""
"with credit card","CARTÃO DE DÉBITO OU CRÉDITO"
"not_exclusive_text_payment","Ao escolher a solução 3x 4x Oney, é reencaminhado(a) para uma página segura, onde preenche os dados para pagamento. Certifique-se de que tem um cartão de débito ou crédito das redes Visa ou Mastercard ou cartão MB NET do tipo comerciante, com uma validade igual ou superior a 30 dias a contar do termo do prazo de reembolso escolhido, e o seu cartão de cidadão. Após a conclusão do processo, recebe na sua caixa de correio eletrónico toda a documentação e informação por parte do Oney."
